sintomas,enfermedad
"El paciente presenta dolor intenso en el abdomen, junto con fiebre y vómitos",Pancreatitis
"El paciente tiene dolor abdominal agudo, fiebre y vómitos persistentes",Pancreatitis
"El paciente presenta dolor en el abdomen superior, fiebre y vómitos",Pancreatitis
"El paciente tiene dolor intenso en la parte superior del abdomen, fiebre y náuseas",Pancreatitis
"Fiebre alta, dolor en el cuerpo, rigidez y cansancio extremo",Fiebre tifoidea
"El paciente presenta fiebre alta, dolor generalizado en el cuerpo y un agotamiento extremo",Fiebre tifoidea
"El paciente tiene fiebre, dolor general en el cuerpo y una gran fatiga",Fiebre tifoidea
"El paciente experimenta fiebre alta, rigidez en el cuerpo y fatiga intensa",Fiebre tifoidea
"Erupción cutánea con picazón, fiebre y malestar general",Varicela
"El paciente tiene una erupción en la piel que pica, fiebre y malestar general",Varicela
"El paciente presenta fiebre, erupción cutánea y picazón",Varicela
"El paciente muestra erupciones en la piel, fiebre y sensación de malestar general",Varicela
"El paciente experimenta fatiga, piel pálida y dificultad para respirar tras esfuerzos físicos",Anemia ferropénica
"El paciente tiene cansancio extremo, palidez en la piel y dificultad para respirar al hacer ejercicio",Anemia ferropénica
"El paciente presenta palidez, fatiga y dificultad para respirar tras actividad física",Anemia ferropénica
"El paciente experimenta cansancio severo, palidez y dificultad para respirar después de un esfuerzo físico",Anemia ferropénica
El paciente tiene un dolor sordo en el abdomen superior derecho que se irradia hacia la espalda,Cálculos biliares
"El paciente presenta dolor constante en el abdomen superior derecho, que se extiende hacia la espalda",Cálculos biliares
"El paciente experimenta dolor abdominal en el lado derecho, que se irradia hacia la espalda",Cálculos biliares
"El paciente tiene dolor en el abdomen superior derecho, irradiando hacia la parte posterior",Cálculos biliares
"Presencia de sangrado en las encías, fatiga y piel pálida",Leucemia
"El paciente tiene encías sangrantes, cansancio extremo y palidez",Leucemia
"El paciente muestra fatiga, encías sangrantes y piel pálida",Leucemia
"El paciente experimenta cansancio, sangrado en las encías y palidez",Leucemia
"El paciente tiene un dolor intenso en la parte baja de la espalda, fiebre y dificultades al orinar",Infección urinaria
"El paciente presenta dolor en la parte baja de la espalda, fiebre y problemas al orinar",Infección urinaria
"El paciente muestra dolor lumbar, fiebre y dificultad al orinar",Infección urinaria
"El paciente experimenta dolor en la espalda baja, fiebre y molestias al orinar",Infección urinaria
"El paciente muestra signos de sangrado en las heces, dolor abdominal y pérdida de peso inexplicada",Cáncer de colon
"El paciente tiene sangre en las heces, dolor abdominal y pérdida de peso inexplicada",Cáncer de colon
"El paciente presenta sangrado en las heces, dolor abdominal y pérdida de peso",Cáncer de colon
"El paciente experimenta dolor abdominal, sangrado rectal y pérdida de peso inexplicada",Cáncer de colon
"El paciente presenta úlceras en la boca, fatiga y pérdida de apetito",Lupus
"El paciente tiene úlceras bucales, cansancio extremo y falta de apetito",Lupus
"El paciente muestra úlceras en la boca, fatiga y pérdida de peso",Lupus
"El paciente experimenta dolor en la boca, fatiga y falta de apetito",Lupus
"Presencia de sangrado en las encías, fatiga y piel pálida",Leucemia
"El paciente presenta delirios visuales y auditivos, y evita el contacto social",Esquizofrenia
"El paciente presenta delirios visuales y auditivos, y evita el contacto social",Esquizofrenia
"El paciente presenta problemas para recordar cosas recientes, se desorienta fácilmente y tiene dificultades en las actividades diarias",Enfermedad de Alzheimer
"El paciente tiene fiebre, dolor en el cuerpo, fatiga y una tos que no cede",Gripe
"El paciente presenta fiebre alta, dolor corporal, cansancio extremo y tos persistente",Gripe
"El paciente tiene tos crónica, dificultad respiratoria y excesiva producción de flema",EPOC
"El paciente tiene dolor en el abdomen inferior derecho, fiebre y náuseas",Apendicitis
"Experimenta alucinaciones visuales, falta de emoción, voces en la cabeza y habla incoherente de forma recurrente.",Esquizofrenia
Sufre de paranoia y voces en la cabeza.,Esquizofrenia
"Muestra signos de voces en la cabeza, pensamientos confusos, aislamiento social, comportamiento desorganizado y habla incoherente.",Esquizofrenia
"Experimenta pensamientos confusos, habla incoherente, alucinaciones auditivas y paranoia de forma recurrente.",Esquizofrenia
"Experimenta voces en la cabeza, agitación, habla incoherente y alucinaciones visuales de forma recurrente.",Esquizofrenia
"Sufre de alucinaciones auditivas, habla incoherente, agitación, comportamiento desorganizado y miedo irracional.",Esquizofrenia
El cuadro clínico incluye aislamiento social y paranoia.,Esquizofrenia
"Los síntomas incluyen voces en la cabeza, habla incoherente, alucinaciones auditivas, comportamiento desorganizado y delirios.",Esquizofrenia
"El paciente presenta alucinaciones auditivas, miedo irracional, aislamiento social y habla incoherente.",Esquizofrenia
"Experimenta aislamiento social, alucinaciones visuales, miedo irracional, delirios y alucinaciones auditivas de forma recurrente.",Esquizofrenia
"Reporta tener alucinaciones visuales, comportamiento desorganizado, habla incoherente y voces en la cabeza.",Esquizofrenia
"Reporta tener miedo irracional, paranoia, pensamientos confusos y comportamiento desorganizado.",Esquizofrenia
El paciente presenta miedo irracional y alucinaciones auditivas.,Esquizofrenia
"Los síntomas incluyen falta de emoción, miedo irracional, voces en la cabeza, habla incoherente y aislamiento social.",Esquizofrenia
Los síntomas incluyen alucinaciones visuales y agitación.,Esquizofrenia
Reporta tener miedo irracional y habla incoherente.,Esquizofrenia
Los síntomas incluyen voces en la cabeza y alucinaciones visuales.,Esquizofrenia
Reporta tener alucinaciones visuales y aislamiento social.,Esquizofrenia
"Se queja de comportamiento desorganizado, habla incoherente y alucinaciones auditivas.",Esquizofrenia
"El cuadro clínico incluye agitación, alucinaciones auditivas, falta de emoción y voces en la cabeza.",Esquizofrenia
Los síntomas incluyen voces en la cabeza y alucinaciones auditivas.,Esquizofrenia
"Reporta tener pensamientos confusos, alucinaciones visuales y delirios.",Esquizofrenia
"Los síntomas incluyen agitación, comportamiento desorganizado, alucinaciones auditivas y aislamiento social.",Esquizofrenia
"Reporta tener voces en la cabeza, aislamiento social, agitación, habla incoherente y miedo irracional.",Esquizofrenia
Los síntomas incluyen paranoia y voces en la cabeza.,Esquizofrenia
"El cuadro clínico incluye habla incoherente, comportamiento desorganizado, aislamiento social, falta de emoción y miedo irracional.",Esquizofrenia
El paciente presenta falta de emoción y alucinaciones auditivas.,Esquizofrenia
"Experimenta voces en la cabeza, paranoia y comportamiento desorganizado de forma recurrente.",Esquizofrenia
Reporta tener falta de emoción y pensamientos confusos.,Esquizofrenia
"Los síntomas incluyen alucinaciones auditivas, aislamiento social, comportamiento desorganizado y paranoia.",Esquizofrenia
"habla incoherente y agitación, y además presenta otros signos.",Esquizofrenia
"El cuadro clínico incluye miedo irracional, falta de emoción, pensamientos confusos y alucinaciones visuales.",Esquizofrenia
"Se queja de comportamiento desorganizado, pensamientos confusos, paranoia y falta de emoción.",Esquizofrenia
"Sufre de paranoia, alucinaciones visuales, alucinaciones auditivas, miedo irracional y falta de emoción.",Esquizofrenia
El cuadro clínico incluye alucinaciones auditivas y paranoia.,Esquizofrenia
"Sufre de aislamiento social, miedo irracional, habla incoherente, falta de emoción y alucinaciones auditivas.",Esquizofrenia
"El paciente presenta miedo irracional, aislamiento social y agitación.",Esquizofrenia
El paciente presenta delirios y miedo irracional.,Esquizofrenia
"El paciente presenta paranoia, habla incoherente y aislamiento social.",Esquizofrenia
"Sufre de falta de emoción, aislamiento social y delirios.",Esquizofrenia
"Muestra signos de miedo irracional, agitación, comportamiento desorganizado y alucinaciones visuales.",Esquizofrenia
"Los síntomas incluyen delirios, alucinaciones auditivas y voces en la cabeza.",Esquizofrenia
"Reporta tener habla incoherente, paranoia, agitación, delirios y aislamiento social.",Esquizofrenia
"voces en la cabeza, agitación, comportamiento desorganizado y pensamientos confusos, y además presenta otros signos.",Esquizofrenia
"Experimenta pensamientos confusos, voces en la cabeza, agitación y falta de emoción de forma recurrente.",Esquizofrenia
Tiene síntomas como miedo irracional y falta de emoción.,Esquizofrenia
"Sufre de alucinaciones auditivas, comportamiento desorganizado y agitación.",Esquizofrenia
"Reporta tener alucinaciones auditivas, agitación, paranoia y alucinaciones visuales.",Esquizofrenia
"Se queja de falta de emoción, agitación y paranoia.",Esquizofrenia
"Tiene síntomas como agitación, aislamiento social, pensamientos confusos, miedo irracional y comportamiento desorganizado.",Esquizofrenia
"Se queja de alucinaciones visuales, comportamiento desorganizado y falta de emoción.",Esquizofrenia
"Se queja de comportamiento desorganizado, alucinaciones auditivas, falta de emoción, voces en la cabeza y aislamiento social.",Esquizofrenia
"Sufre de pensamientos confusos, alucinaciones visuales y voces en la cabeza.",Esquizofrenia
"El cuadro clínico incluye habla incoherente, alucinaciones visuales, miedo irracional y falta de emoción.",Esquizofrenia
"Muestra signos de delirios, alucinaciones visuales, aislamiento social, miedo irracional y habla incoherente.",Esquizofrenia
"Experimenta alucinaciones auditivas, falta de emoción, voces en la cabeza y alucinaciones visuales de forma recurrente.",Esquizofrenia
"Sufre de agitación, falta de emoción, paranoia y comportamiento desorganizado.",Esquizofrenia
"Se queja de paranoia, alucinaciones visuales y falta de emoción.",Esquizofrenia
"Experimenta agitación, alucinaciones auditivas y comportamiento desorganizado de forma recurrente.",Esquizofrenia
Experimenta agitación y paranoia de forma recurrente.,Esquizofrenia
"Experimenta habla incoherente, agitación y aislamiento social de forma recurrente.",Esquizofrenia
"Los síntomas incluyen delirios, miedo irracional, comportamiento desorganizado y voces en la cabeza.",Esquizofrenia
"Tiene síntomas como alucinaciones auditivas, alucinaciones visuales y comportamiento desorganizado.",Esquizofrenia
"Los síntomas incluyen aislamiento social, habla incoherente, voces en la cabeza, paranoia y agitación.",Esquizofrenia
"El paciente presenta paranoia, habla incoherente, alucinaciones auditivas, alucinaciones visuales y agitación.",Esquizofrenia
"Se queja de alucinaciones visuales, alucinaciones auditivas, agitación, paranoia y miedo irracional.",Esquizofrenia
"paranoia, delirios, agitación, habla incoherente y aislamiento social, y además presenta otros signos.",Esquizofrenia
"Muestra signos de alucinaciones visuales, alucinaciones auditivas y agitación.",Esquizofrenia
Se queja de voces en la cabeza y habla incoherente.,Esquizofrenia
"El cuadro clínico incluye aislamiento social, paranoia y falta de emoción.",Esquizofrenia
"El paciente presenta falta de emoción, alucinaciones visuales, voces en la cabeza y alucinaciones auditivas.",Esquizofrenia
El cuadro clínico incluye falta de emoción y delirios.,Esquizofrenia
"Se queja de falta de emoción, comportamiento desorganizado y alucinaciones auditivas.",Esquizofrenia
"Tiene síntomas como alucinaciones auditivas, comportamiento desorganizado y miedo irracional.",Esquizofrenia
"alucinaciones auditivas y delirios, y además presenta otros signos.",Esquizofrenia
"Sufre de delirios, paranoia, aislamiento social y miedo irracional.",Esquizofrenia
El paciente presenta delirios y comportamiento desorganizado.,Esquizofrenia
"Sufre de alucinaciones visuales, voces en la cabeza, pensamientos confusos, agitación y paranoia.",Esquizofrenia
"El cuadro clínico incluye voces en la cabeza, paranoia, pensamientos confusos, falta de emoción y aislamiento social.",Esquizofrenia
Muestra signos de agitación y habla incoherente.,Esquizofrenia
El cuadro clínico incluye falta de emoción y comportamiento desorganizado.,Esquizofrenia
"Los síntomas incluyen pensamientos confusos, habla incoherente, voces en la cabeza y delirios.",Esquizofrenia
"miedo irracional, delirios y paranoia, y además presenta otros signos.",Esquizofrenia
"Se queja de miedo irracional, voces en la cabeza y falta de emoción.",Esquizofrenia
"Se queja de paranoia, voces en la cabeza, agitación y pensamientos confusos.",Esquizofrenia
"Se queja de alucinaciones visuales, delirios y aislamiento social.",Esquizofrenia
"Experimenta alucinaciones auditivas, voces en la cabeza, aislamiento social y agitación de forma recurrente.",Esquizofrenia
Experimenta delirios y paranoia de forma recurrente.,Esquizofrenia
"Los síntomas incluyen agitación, alucinaciones auditivas, voces en la cabeza, habla incoherente y miedo irracional.",Esquizofrenia
"Experimenta alucinaciones visuales, agitación, habla incoherente, paranoia y voces en la cabeza de forma recurrente.",Esquizofrenia
"El cuadro clínico incluye miedo irracional, comportamiento desorganizado y falta de emoción.",Esquizofrenia
Experimenta comportamiento desorganizado y alucinaciones visuales de forma recurrente.,Esquizofrenia
"Muestra signos de voces en la cabeza, agitación, delirios, falta de emoción y paranoia.",Esquizofrenia
"Se queja de habla incoherente, alucinaciones visuales y voces en la cabeza.",Esquizofrenia
Se queja de delirios y comportamiento desorganizado.,Esquizofrenia
Reporta tener alucinaciones auditivas y habla incoherente.,Esquizofrenia
"alucinaciones auditivas, habla incoherente, agitación y falta de emoción, y además presenta otros signos.",Esquizofrenia
"falta de emoción, paranoia, alucinaciones auditivas, aislamiento social y voces en la cabeza, y además presenta otros signos.",Esquizofrenia
"El cuadro clínico incluye aislamiento social, habla incoherente y delirios.",Esquizofrenia
Los síntomas incluyen paranoia y delirios.,Esquizofrenia
El paciente presenta aislamiento social y paranoia.,Esquizofrenia
El cuadro clínico incluye miedo irracional y pensamientos confusos.,Esquizofrenia
"Los síntomas incluyen aislamiento social, miedo irracional, delirios, alucinaciones visuales y falta de emoción.",Esquizofrenia
"El cuadro clínico incluye voces en la cabeza, habla incoherente y falta de emoción.",Esquizofrenia
"Los síntomas incluyen paranoia, miedo irracional, alucinaciones auditivas y habla incoherente.",Esquizofrenia
Sufre de aislamiento social y miedo irracional.,Esquizofrenia
Experimenta agitación y delirios de forma recurrente.,Esquizofrenia
"agitación y aislamiento social, y además presenta otros signos.",Esquizofrenia
Sufre de pensamientos confusos y paranoia.,Esquizofrenia
"Tiene síntomas como alucinaciones visuales, habla incoherente, voces en la cabeza y comportamiento desorganizado.",Esquizofrenia
"Los síntomas incluyen habla incoherente, voces en la cabeza, agitación y comportamiento desorganizado.",Esquizofrenia
"Experimenta paranoia, habla incoherente y agitación de forma recurrente.",Esquizofrenia
El cuadro clínico incluye agitación y habla incoherente.,Esquizofrenia
"Se queja de agitación, pensamientos confusos y alucinaciones visuales.",Esquizofrenia
Los síntomas incluyen agitación y voces en la cabeza.,Esquizofrenia
Sufre de aislamiento social y comportamiento desorganizado.,Esquizofrenia
"Se queja de alucinaciones visuales, comportamiento desorganizado y habla incoherente.",Esquizofrenia
"Muestra signos de pensamientos confusos, alucinaciones visuales, miedo irracional y paranoia.",Esquizofrenia
"Muestra signos de habla incoherente, falta de emoción, voces en la cabeza, miedo irracional y alucinaciones visuales.",Esquizofrenia
"Los síntomas incluyen alucinaciones auditivas, agitación y paranoia.",Esquizofrenia
"Sufre de paranoia, pensamientos confusos, falta de emoción, alucinaciones auditivas y miedo irracional.",Esquizofrenia
"Se queja de alucinaciones visuales, pensamientos confusos, miedo irracional, alucinaciones auditivas y habla incoherente.",Esquizofrenia
"Experimenta comportamiento desorganizado, voces en la cabeza, habla incoherente y alucinaciones auditivas de forma recurrente.",Esquizofrenia
Tiene síntomas como pensamientos confusos y falta de emoción.,Esquizofrenia
Experimenta pensamientos confusos y paranoia de forma recurrente.,Esquizofrenia
Se queja de habla incoherente y falta de emoción.,Esquizofrenia
"Tiene síntomas como delirios, pensamientos confusos, falta de emoción y alucinaciones visuales.",Esquizofrenia
"El paciente presenta paranoia, pensamientos confusos, voces en la cabeza, aislamiento social y miedo irracional.",Esquizofrenia
"paranoia, delirios, agitación y miedo irracional, y además presenta otros signos.",Esquizofrenia
"aislamiento social y comportamiento desorganizado, y además presenta otros signos.",Esquizofrenia
El cuadro clínico incluye voces en la cabeza y delirios.,Esquizofrenia
Muestra signos de miedo irracional y aislamiento social.,Esquizofrenia
Muestra signos de comportamiento desorganizado y voces en la cabeza.,Esquizofrenia
Reporta tener agitación y delirios.,Esquizofrenia
"miedo irracional y paranoia, y además presenta otros signos.",Esquizofrenia
"Muestra signos de miedo irracional, pensamientos confusos, alucinaciones visuales, agitación y voces en la cabeza.",Esquizofrenia
"El cuadro clínico incluye pensamientos confusos, alucinaciones auditivas, paranoia y habla incoherente.",Esquizofrenia
"Tiene síntomas como falta de emoción, miedo irracional y delirios.",Esquizofrenia
"Reporta tener comportamiento desorganizado, miedo irracional, pensamientos confusos y habla incoherente.",Esquizofrenia
"El cuadro clínico incluye delirios, aislamiento social y agitación.",Esquizofrenia
"miedo irracional, paranoia, alucinaciones visuales, habla incoherente y falta de emoción, y además presenta otros signos.",Esquizofrenia
"Los síntomas incluyen aislamiento social, pensamientos confusos y paranoia.",Esquizofrenia
"comportamiento desorganizado, pensamientos confusos y alucinaciones visuales, y además presenta otros signos.",Esquizofrenia
"Reporta tener comportamiento desorganizado, paranoia, falta de emoción, miedo irracional y pensamientos confusos.",Esquizofrenia
"Experimenta voces en la cabeza, alucinaciones auditivas, miedo irracional y habla incoherente de forma recurrente.",Esquizofrenia
"Se queja de agitación, pensamientos confusos, voces en la cabeza y alucinaciones visuales.",Esquizofrenia
"Experimenta alucinaciones auditivas, aislamiento social y comportamiento desorganizado de forma recurrente.",Esquizofrenia
"Se queja de aislamiento social, agitación, paranoia y voces en la cabeza.",Esquizofrenia
"El cuadro clínico incluye aislamiento social, delirios, miedo irracional y agitación.",Esquizofrenia
"Sufre de falta de emoción, miedo irracional y aislamiento social.",Esquizofrenia
"aislamiento social y habla incoherente, y además presenta otros signos.",Esquizofrenia
"Se queja de pensamientos confusos, voces en la cabeza, miedo irracional y alucinaciones visuales.",Esquizofrenia
"Reporta tener miedo irracional, agitación, voces en la cabeza, falta de emoción y alucinaciones auditivas.",Esquizofrenia
Tiene síntomas como miedo irracional y delirios.,Esquizofrenia
Los síntomas incluyen pensamientos confusos y alucinaciones visuales.,Esquizofrenia
"Sufre de voces en la cabeza, miedo irracional, paranoia y comportamiento desorganizado.",Esquizofrenia
